"GEOID","totalE","ownerE","renterE"
"42101034702",1385,1256,129
"42101034801",2097,1153,944
"42101034802",2393,1351,1042
"42101034803",1651,1325,326
"42101034900",2235,1381,854
"42101035100",2122,1560,562
"42101035200",2200,1912,288
"42101035301",2115,1410,705
"42101035302",1774,1185,589
"42101035500",3028,2242,786
"42101035601",2308,1606,702
"42101035602",1283,1104,179
"42101035701",1879,626,1253
"42101035702",1854,690,1164
"42101035800",2361,1628,733
"42101035900",2220,1404,816
"42101036000",1278,736,542
"42101036100",1663,836,827
"42101036201",1943,1389,554
"42101036202",2431,1843,588
"42101036203",1860,1672,188
"42101036301",1467,1100,367
"42101036302",1346,874,472
"42101036303",2311,2129,182
"42101036400",314,294,20
"42101036501",2224,1245,979
"42101036502",1748,1318,430
"42101036600",1186,547,639
"42101036700",1755,878,877
"42101036902",957,0,957
"42101037200",1689,1270,419
"42101037300",2933,1630,1303
"42101037500",1397,773,624
"42101037600",1750,498,1252
"42101037700",1572,236,1336
"42101037800",1186,616,570
"42101037900",2380,1743,637
"42101038000",786,551,235
"42101038100",329,134,195
"42101038200",1234,885,349
"42101038301",703,317,386
"42101038400",1024,833,191
"42101038500",918,524,394
"42101038600",582,456,126
"42101038700",829,640,189
"42101038800",1785,1110,675
"42101038900",1320,837,483
"42101039001",1269,512,757
"42101039002",1721,1560,161
"42101039100",1162,113,1049
"42101980100",75,64,11
"42101980200",13,13,0
"34005700102",948,811,137
"34005700103",1489,1108,381
"34005700104",763,470,293
"34005700200",1028,781,247
